artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
"""Cats"" 1981 Original London Cast",0.5985,0.4701000000000001,267072.0,0.3762030000000001,0.010260876,0.28305,-14.434300000000002,0.20915,114.1288,0.35832,38.2,5,1,10,['show tunes']
"""Cats"" 1983 Broadway Cast",0.8625384615384616,0.4417307692307693,287280.0,0.40680769230769226,0.08115826423076923,0.3152153846153846,-10.69,0.17621153846153847,103.04415384615385,0.26886538461538456,31.538461538461537,5,1,26,[]
"""Fiddler On The Roof” Motion Picture Chorus",0.8565714285714285,0.34828571428571425,328920.0,0.2865714285714285,0.024592948571428568,0.3257857142857143,-15.230714285714285,0.1185142857142857,77.37585714285714,0.3548571428571429,34.57142857142857,0,1,7,[]
"""Fiddler On The Roof” Motion Picture Orchestra",0.884925925925926,0.4250740740740739,262890.96296296304,0.2457703703703704,0.07358727925925927,0.2754814814814815,-15.639370370370367,0.12320000000000005,88.66762962962964,0.3720296296296296,34.407407407407405,0,1,27,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.5107142857142857,0.4671428571428572,270436.14285714284,0.4882857142857143,0.00940029142857143,0.195,-10.236714285714287,0.09854285714285717,122.83585714285714,0.4822857142857143,42.0,5,1,7,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.5911666666666667,0.4843333333333333,218504.5,0.30060833333333337,0.007042272500000002,0.17606666666666668,-18.5795,0.1049583333333333,122.51783333333334,0.4244999999999999,33.166666666666664,9,1,24,[]
"""Mama"" Helen Teagarden",0.725,0.637,135533.0,0.512,0.18600000000000005,0.426,-20.615,0.21,134.819,0.885,0.0,8,1,2,[]
"""Test for Victor Young""",0.927,0.7340000000000001,175693.0,0.474,0.0762,0.737,-10.544,0.256,132.78799999999998,0.902,3.0,10,1,2,[]
"""Weird Al"" Yankovic",0.1868205660377359,0.6507924528301889,218352.96226415093,0.6931886792452833,4.490830188679244e-05,0.1609264150943397,-9.691150943396226,0.08227547169811322,132.87660377358483,0.7645849056603775,32.867924528301884,9,1,106,"['comedy rock', 'comic', 'parody']"
$0dg0d,0.11,0.732,160171.0,0.8220000000000001,9.05e-06,0.154,-5.3870000000000005,0.155,141.94799999999995,0.74,0.0,7,0,2,[]
$NOT,0.4581666666666666,0.8266666666666668,146886.33333333337,0.5186666666666667,7.108333333333333e-06,0.20168333333333333,-8.713166666666668,0.27255,90.72883333333333,0.42675,74.16666666666667,0,1,6,"['florida rap', 'underground hip hop', 'vapor trap']"
$atori Zoom,0.239,0.883,141519.0,0.625,0.0,0.0765,-4.098,0.245,126.677,0.871,69.0,6,1,2,"['dark trap', 'meme rap']"
$tar$eed,0.0375,0.9229999999999999,130375.0,0.172,0.0202,0.0827,-15.645999999999999,0.385,100.046,0.17600000000000002,0.0,10,0,4,[]
$uicideBoy$,0.15463710144927542,0.7785507246376814,149915.28985507245,0.6258695652173915,0.02472047565217391,0.20922318840579707,-6.553898550724632,0.1499855072463768,117.67908695652172,0.2427724637681159,65.33333333333333,1,1,69,"['dark trap', 'new orleans rap', 'underground hip hop']"
'In The Heights' Original Broadway Company,0.6266666666666666,0.547,387293.66666666674,0.39266666666666666,0.0,0.26,-8.348666666666666,0.3121,171.16766666666663,0.5093333333333333,52.0,5,1,3,"['broadway', 'show tunes']"
'Legally Blonde' Ensemble,0.598,0.6296666666666667,208493.66666666663,0.5099999999999999,0.0,0.251,-10.526666666666667,0.6076666666666667,95.09033333333336,0.5163333333333333,51.66666666666666,2,1,3,"['broadway', 'hollywood', 'show tunes']"
'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.0233002525,0.12758750000000002,-9.638125,0.03215,103.08025000000002,0.532625,33.875,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
((( O ))),0.847,0.41,311837.0,0.16899999999999998,0.0032700000000000003,0.11699999999999999,-11.422,0.0485,89.494,0.20800000000000002,66.0,3,1,2,"['experimental hip hop', 'indie soul']"
(Con La Participación de Marc Anthony),0.5379999999999999,0.731,361440.0,0.794,2.3899999999999998e-05,0.0736,-4.1819999999999995,0.0408,88.00299999999999,0.873,42.0,5,1,2,[]
(EM),0.446,0.462,221832.0,0.542,0.0956,0.97,-9.161,0.0308,99.40299999999999,0.547,4.0,6,1,4,"['detroit hip hop', 'hip hop', 'rap']"
(G)I-DLE,0.026794,0.534,193085.6,0.8298,2.328e-06,0.16887999999999995,-3.9508,0.06104,130.4178,0.35340000000000005,76.6,6,0,5,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,0.005993333333333334,0.5936666666666667,261253.33333333328,0.8956666666666667,3.3766666666666664e-06,0.12819999999999998,-5.162999999999999,0.09523333333333334,110.925,0.413,45.33333333333334,6,1,6,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']"
*NSYNC,0.1848550424242424,0.6002525252525255,234698.4848484849,0.6972222222222219,0.0012929846464646464,0.2273434343434344,-6.3865555555555575,0.05444646464646466,116.97407070707077,0.5569898989898988,46.04040404040404,9,1,99,"['boy band', 'dance pop', 'europop', 'pop']"
*spandrel,0.897,0.513,236644.0,0.642,0.0348,0.20800000000000002,-14.456,0.3670000000000001,107.057,0.302,0.0,8,0,4,['indy indie']
+44,0.000367,0.41600000000000004,192787.0,0.9670000000000001,0.0,0.0632,-2.289,0.109,171.032,0.431,53.0,9,0,2,[]
-Sd-,0.0106,0.88,451765.0,0.494,0.47200000000000003,0.115,-7.632999999999999,0.183,136.031,0.261,0.0,9,0,4,[]
...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,0.858,0.00035499999999999996,0.513,-5.085,0.0694,144.653,0.237,36.0,7,1,2,"['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore']"
.ex-machina.,0.00275,0.5429999999999999,228206.0,0.956,3.63e-05,0.0681,-4.288,0.0457,120.094,0.722,0.0,5,1,2,"['cyberpunk', 'synthwave']"
//Tense//,4.68e-05,0.7040000000000001,326632.0,0.8440000000000001,0.442,0.266,-9.378,0.0308,123.01100000000001,0.6559999999999999,1.0,5,1,2,[]
015B,0.4752758620689655,0.6240000000000001,234111.1379310345,0.5647931034482759,0.000632681724137931,0.1865379310344828,-5.962413793103447,0.06602758620689653,112.89189655172414,0.4378965517241379,15.20689655172414,0,1,29,"['k-indie', 'korean electropop', 'korean pop']"
03 Greedo,0.14492,0.6446000000000001,244528.8,0.526,8e-07,0.10465999999999999,-9.2822,0.06656000000000001,83.8978,0.35679999999999995,66.0,3,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,0.0114,0.696,398106.0,0.667,0.0,0.18100000000000002,-7.665,0.0407,121.932,0.287,62.0,0,0,1,"['alternative r&b', 'new jersey rap']"
10 Ft. Ganja Plant,0.195,0.7859999999999999,277307.0,0.752,0.867,0.0427,-2.859,0.0387,136.578,0.925,49.0,2,0,2,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 Years,0.001100666666666667,0.452,213866.66666666663,0.7863333333333332,0.00011856,0.10583333333333332,-4.567333333333333,0.0472,145.14166666666668,0.2580000000000001,57.66666666666666,6,0,6,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
"10,000 Maniacs",0.18243352941176474,0.5880000000000001,235077.5294117647,0.5565058823529412,0.002059093529411764,0.20626470588235293,-13.217764705882347,0.03901764705882353,115.60611764705885,0.6161764705882353,37.882352941176464,9,1,34,"['folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']"
100 First Songs' Participants,0.682,0.6759999999999999,53000.0,0.36,6.16e-06,0.0628,-15.708,0.281,132.45,0.593,34.0,0,1,2,[]
100 gecs,0.13086000000000006,0.6257999999999999,128980.4,0.6900000000000001,0.0012239999999999998,0.30700000000000005,-5.9724,0.15116000000000002,108.32600000000001,0.7418,67.4,1,1,5,"['glitchcore', 'hyperpop']"
101 Strings Orchestra,0.5975607692307693,0.270423076923077,191426.23076923078,0.3878461538461538,0.7503076923076921,0.1861923076923077,-13.582384615384614,0.037592307692307696,103.51823076923077,0.31587692307692306,20.923076923076927,0,1,26,"['adult standards', 'easy listening', 'lounge']"
1011 - TEN-ELEVEN,0.74,0.6679999999999999,252027.0,0.436,0.0,0.0923,-7.04,0.0315,128.135,0.316,18.0,11,1,2,[]
10cc,0.2105388888888889,0.5635000000000002,291628.22222222225,0.5707777777777775,0.006783127777777779,0.14880000000000002,-10.387944444444448,0.06513333333333332,120.38427777777777,0.5782777777777777,40.72222222222222,7,1,36,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
11/5,0.27,0.929,182373.0,0.6609999999999999,1.52e-06,0.0879,-6.794,0.171,114.973,0.708,37.0,1,0,2,"['g funk', 'hyphy']"
112,0.1443851162790698,0.6880232558139535,267593.23255813954,0.5291395348837209,0.00018333720930232563,0.1403162790697675,-7.723255813953488,0.10937674418604652,115.96383720930237,0.5811860465116279,49.16279069767442,0,1,43,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
12 Inches A Slave,0.0015199999999999999,0.8,270350.0,0.8370000000000001,0.9109999999999999,0.0729,-8.937999999999997,0.0611,127.98700000000001,0.895,0.0,10,1,2,[]
12 Step Rebels,0.0492,0.564,188373.0,0.9840000000000001,0.0,0.3720000000000001,-5.439,0.105,130.695,0.55,8.0,0,1,2,"['horror punk', 'psychobilly']"
12 Stones,0.1190975,0.35925,201327.0,0.86875,4.1e-06,0.3275,-4.085000000000001,0.067375,126.05775,0.4232500000000001,54.25,5,1,8,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
13th Floor Elevators,0.06495000000000001,0.525,148827.5,0.8354999999999999,0.5559999999999999,0.08435000000000001,-6.318,0.07780000000000001,150.4695,0.863,29.5,2,0,4,"['acid rock', 'classic garage rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
1422,0.506,0.682,59520.0,0.872,0.29,0.187,-5.947,0.0609,117.60600000000001,0.794,6.0,7,1,2,[]
16BL,0.15394400000000005,0.7494,454772.2,0.6268,0.6836,0.2672,-9.87,0.0405,122.8292,0.34358,6.2,9,0,10,"['progressive house', 'progressive trance house', 'tech house']"
1776 Ensemble,0.8915,0.5894999999999999,193206.5,0.4025,0.0,0.4725,-11.3485,0.172,97.4035,0.5940000000000001,21.5,0,1,2,[]
1776 Orchestra,0.08,0.7390000000000001,113493.0,0.518,0.865,0.0917,-15.620999999999999,0.0979,120.939,0.222,18.0,11,1,1,[]
19 Hz,0.00512,0.8029999999999999,434027.0,0.529,0.715,0.446,-10.279000000000002,0.0669,129.99,0.8,0.0,6,0,2,['progressive trance house']
1910 Fruitgum Company,0.4185000000000001,0.7570000000000001,140750.0,0.6052500000000001,0.0007778499999999999,0.12425,-9.72575,0.044725,128.4975,0.8995,23.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat']"
1920Johnny,0.5081111111111112,0.7507777777777779,198440.66666666663,0.38522222222222224,1.1684444444444443e-05,0.12596666666666667,-10.369444444444444,0.184,123.95533333333331,0.3166111111111112,0.1111111111111111,10,0,9,[]
1920s to 1950s Acoustic & Electric,0.980714285714286,0.5774285714285713,172118.7142857143,0.16832380952380954,0.7811833333333335,0.14957142857142858,-17.93876190476189,0.045276190476190484,129.00295238095242,0.4977142857142859,4.857142857142857,8,1,21,[]
1927,0.00224,0.565,253227.0,0.777,0.0555,0.213,-3.233,0.0335,123.102,0.395,51.0,7,1,2,['la indie']
1986 Omega Tribe,0.3198555555555556,0.6799999999999999,274628.0,0.6121111111111109,0.02825716888888889,0.16933333333333336,-13.467888888888883,0.031933333333333334,121.79522222222224,0.8348888888888888,37.888888888888886,9,0,18,['classic city pop']
1Touch,0.000571,0.74,344067.0,0.591,0.263,0.0946,-7.898,0.0548,128.019,0.381,0.0,5,1,2,[]
2 Brothers On The 4th Floor,0.00328,0.701,263163.0,0.9790000000000001,0.308,0.41600000000000004,-4.8610000000000015,0.048,134.013,0.612,62.0,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
